Source \ Molecule,HCCCN,CH3CN
L1517B – dust,5.16+/-0.03 e13,2.1+/-0.3 e11
L1517B – methanol,3.72+/-0.08 e12,< 1.4 e11
L1498 – dust,1.6+/-0.3 e13,< 8.3 e10
L1498 – methanol,2.2+/-1.0 e13,1.0+/-0.1 e11
L1544 – dust,1.0+/-0.3 e14,1.5+/-0.2 e11
L1544 – methanol,4.2+/-0.4 e13,< 9.1 e10
B1-a,4.2+/-1.2 e12,4.9+/-1.1 e11
B1-c,4.2+/-3.4 e12,3.5+/-0.6 e11
B5 IRS1,3.2-1.2+1.2 e12,< 1.7 e 11
HH 300,< 1.3 e11,< 1.2 e11
IRAS 03235,3.9+/-1.0 e12,1.6+/-0.9 e11
IRAS 03245,3.6+/-2.9 e12,1.9+/-1.5 e11
IRAS 03254,< 9.2 e10,< 1.0 e11
IRAS 03271,1.7+/-1.4 e12,1.9+/-1.1 e11
IRAS 04108,< 1.0 e11,< 1.2 e11
IRAS 23238,3.2+/-2.6 e12,1.4+/-0.3 e11
L1014 IRS,4.4+/-3.6 e11,< 6.2 e10
L1448 IRS1,< 8.7 e10,< 9.4 e10
L1455 IRS3,6.5+/-5.3 e11,< 9.1 e10
L1455 SMM1,2.4+/-1.9 e12,< 1.1 e11
L1489 IRS,3.5+/-2.4 e11,< 1.4 e11
SVS 4-5,1.1+/-0.3 e13,5.2+/-0.9 e11
GM Aur,1.9-0.4+0.4 e13,2.1-0.1+0.2 e12
As 209,2.9-0.5+0.5 e13,1.7-0.2+0.2 e12
HD 163296,7.3-1.9+2.5 e13,2.3-0.2+0.2 e12
MWC 480,7.8-2.7+3.9 e13,3.5-0.2+0.2 e12
# (units: /cm²),,
46P,< 0.003,0.017+/-0.001
67P,0.0004,0.0059
# (units: % /H2O),,
